age,workclass,fnlwgt,educational.num,marital.status,race,gender,capital.gain,capital.loss,hours.per.week,occupation_office,occupation_Prof,occupation_worker,income
25,1,226802,7,0,0,1,0,0,40,0,0,1,0
38,1,89814,9,1,1,1,0,0,50,0,0,1,0
28,0,336951,12,1,1,1,0,0,40,1,0,0,1
44,1,160323,10,1,0,1,7688,0,40,0,0,1,1
34,1,198693,6,0,1,1,0,0,30,0,0,0,0
63,0,104626,15,1,1,1,3103,0,32,0,1,0,1
24,1,369667,10,0,1,0,0,0,40,0,0,0,0
55,1,104996,4,1,1,1,0,0,10,0,0,1,0
65,1,184454,9,1,1,1,6418,0,40,0,0,1,1
36,0,212465,13,1,1,1,0,0,40,1,0,0,0
26,1,82091,9,0,1,0,0,0,39,1,0,0,0
48,1,279724,9,1,1,1,3103,0,48,0,0,1,1
43,1,346189,14,1,1,1,0,0,50,0,1,0,1
20,0,444554,10,0,1,1,0,0,25,0,0,0,0
43,1,128354,9,1,1,0,0,0,30,1,0,0,0
37,1,60548,9,0,1,0,0,0,20,0,0,1,0
34,1,107914,13,1,1,1,0,0,47,1,0,0,1
34,1,238588,10,0,0,0,0,0,35,0,0,0,0
25,1,205947,13,1,1,1,0,0,40,0,1,0,0
45,0,432824,9,1,1,1,7298,0,90,0,0,1,1
22,1,236427,9,0,1,1,0,0,20,1,0,0,0
23,1,134446,9,0,0,1,0,0,54,0,0,1,0
54,1,99516,9,1,1,1,0,0,35,0,0,1,0
32,0,109282,10,0,1,1,0,0,60,0,1,0,0
46,0,106444,10,1,0,1,7688,0,38,0,1,0,1
56,0,186651,7,0,1,0,0,0,50,0,0,0,0
24,0,188274,13,0,1,1,0,0,50,1,0,0,0
23,0,258120,10,1,1,1,0,0,40,1,0,0,0
26,1,43311,9,0,1,0,0,0,40,0,1,0,0
36,0,403681,13,1,1,1,0,0,40,0,1,0,1
17,1,269430,6,0,1,1,0,0,40,0,0,1,0
20,1,257509,9,0,1,1,0,0,40,0,0,1,0
65,1,136384,14,1,1,1,0,0,50,0,1,0,1
44,0,120277,11,1,1,1,0,0,45,1,0,0,1
36,1,465326,9,1,1,1,0,0,40,0,0,1,0
29,1,103634,7,1,1,1,0,0,40,0,0,0,0
20,0,138371,10,0,1,1,0,0,32,0,0,1,0
28,1,242832,11,1,1,0,0,0,36,0,1,0,1
54,1,186272,10,1,1,1,3908,0,50,0,0,1,0
52,1,201062,7,0,0,0,0,0,18,0,0,0,0
56,0,131916,9,0,1,0,0,0,50,0,1,0,0
18,1,54440,10,0,1,1,0,0,20,0,0,0,0
39,1,280215,9,0,0,1,0,0,40,0,0,0,0
21,1,214399,10,0,1,0,0,1721,24,0,0,0,0
22,1,54164,9,0,1,1,14084,0,60,0,0,0,1
21,1,110677,10,0,1,0,0,0,40,1,0,0,0
63,1,145985,9,1,1,1,0,0,40,0,0,1,0
34,0,382078,13,1,1,1,3103,0,50,0,1,0,1
42,0,170721,9,1,1,1,5178,0,50,0,1,0,1
33,1,269705,9,1,1,1,0,0,40,0,0,0,0
30,1,101135,13,0,1,0,0,0,50,0,1,0,0
39,1,118429,10,0,1,1,0,0,40,1,0,0,0
26,1,31208,14,0,1,0,0,0,40,0,1,0,0
33,1,281384,9,0,1,0,0,0,40,0,0,1,0
47,0,171807,9,0,1,0,0,0,40,1,0,0,0
41,0,445382,12,1,1,1,15024,0,60,0,0,1,1
19,1,105460,10,0,1,1,0,0,20,0,0,0,0
46,1,170338,9,0,1,1,0,0,40,0,0,1,0
43,1,102606,9,1,1,1,0,0,48,1,0,0,0
55,1,323887,10,1,1,1,15024,0,45,0,1,0,1
46,1,175622,11,1,1,1,0,0,40,1,0,0,0
21,1,388946,10,0,1,0,0,0,40,0,0,0,0
41,1,75012,9,1,1,1,0,0,50,0,0,1,0
69,0,174379,9,1,1,1,0,0,30,1,0,0,0
50,1,312477,9,1,1,1,0,0,40,0,0,1,0
20,1,72055,10,0,1,0,0,0,40,1,0,0,0
45,0,67001,10,1,1,1,0,0,50,0,0,1,0
23,1,213734,13,0,1,1,0,0,40,0,1,0,0
24,1,83141,10,0,1,1,0,1876,40,0,0,0,0
31,0,113752,10,1,1,1,0,0,50,0,0,1,0
43,1,170482,9,0,1,0,0,0,44,0,0,1,0
20,0,244689,7,0,1,0,0,0,10,0,0,0,0
55,1,160631,9,1,1,1,0,0,56,1,0,0,1
24,0,228724,10,0,1,1,0,0,40,1,0,0,0
59,1,292946,13,0,1,0,0,0,25,0,1,0,0
49,0,77443,4,0,0,1,0,0,20,0,0,0,0
33,1,176410,14,1,1,0,5178,0,10,0,1,0,1
59,0,98984,13,0,1,1,0,0,40,1,0,0,0
34,1,198751,14,0,0,1,0,0,40,0,0,0,0
20,1,479296,9,0,1,1,0,0,40,0,0,0,0
25,1,235218,13,0,1,0,0,0,40,0,1,0,0
49,1,164877,6,1,1,1,0,0,40,0,0,1,0
59,1,272087,9,1,1,1,0,0,40,0,0,1,1
20,1,169699,9,0,1,0,0,0,40,1,0,0,0
33,1,202191,10,0,0,0,0,0,35,1,0,0,0
22,1,212261,10,0,0,1,0,0,39,0,0,1,0
58,0,301568,5,0,1,0,0,0,40,0,0,0,0
52,0,155233,9,0,1,0,0,0,28,1,0,0,0
36,1,75826,6,0,1,0,0,0,40,0,0,1,0
41,0,201520,9,1,1,1,0,0,40,1,0,0,0
28,1,154236,9,0,1,1,2597,0,40,0,0,1,0
19,1,289227,10,0,0,1,0,0,16,0,0,0,0
18,1,217439,9,0,1,0,0,0,28,0,0,0,0
18,1,179020,9,0,1,0,0,0,48,0,0,1,0
28,1,149624,10,1,1,1,0,0,40,0,0,1,0
29,1,337266,11,1,1,1,0,0,40,0,1,0,1
40,1,103541,10,1,1,1,0,0,40,0,0,0,0
26,1,206721,9,0,1,1,0,0,40,0,0,0,0
46,1,96773,9,1,1,1,0,0,40,0,0,1,0
23,1,200967,7,0,1,0,0,0,24,0,0,0,0
44,1,180019,9,1,1,0,0,0,40,1,0,0,0
43,1,179866,13,0,1,0,0,0,40,1,0,0,1
31,0,198770,13,0,1,0,0,0,60,0,1,0,0
18,1,219256,10,0,1,0,0,0,25,1,0,0,0
19,1,248730,10,0,1,1,0,0,30,1,0,0,0
41,1,110732,10,0,1,0,0,0,40,1,0,0,0
41,1,181020,9,0,1,0,0,0,40,0,0,0,0
69,1,183791,9,0,1,0,0,0,25,1,0,0,0
48,0,42972,16,1,1,0,0,0,40,0,1,0,1
28,1,134813,9,0,1,1,0,0,40,0,1,0,0
41,1,239296,14,1,1,1,0,2415,50,0,1,0,1
41,1,428420,10,1,1,1,0,0,40,1,0,0,0
24,1,247846,9,0,0,0,0,0,40,0,0,1,0
42,0,100793,16,1,1,1,0,0,41,0,1,0,1
57,1,244478,9,1,0,1,0,0,48,0,0,1,0
30,1,142921,12,0,1,0,0,0,40,0,1,0,0
36,1,182863,9,1,1,1,0,0,60,1,0,0,1
49,1,171128,4,1,0,1,0,0,40,0,0,1,0
33,1,145402,9,1,1,0,0,0,35,0,0,1,0
23,1,306309,6,1,1,1,0,0,40,0,0,1,0
46,1,83822,14,1,1,1,0,0,40,0,1,0,0
40,1,155972,9,1,1,1,7688,0,55,0,1,0,1
43,0,214503,9,1,1,1,0,1887,45,0,1,0,1
34,1,159303,14,0,1,0,0,0,30,0,1,0,0
47,0,174995,9,0,1,0,0,0,30,0,1,0,0
44,1,26669,11,0,1,0,0,0,30,0,1,0,0
33,1,177727,9,1,1,1,0,0,40,1,0,0,1
55,1,124771,13,1,1,1,15024,0,50,0,1,0,1
19,1,456736,9,0,1,1,2907,0,30,1,0,0,0
28,1,216604,10,0,0,1,0,0,14,0,0,0,0
27,1,221561,7,1,0,0,0,0,32,0,0,0,0
50,1,114564,4,1,1,1,0,0,20,0,0,1,0
22,1,315476,7,0,1,1,0,0,40,0,0,1,0
40,0,67874,13,1,1,1,0,1887,45,1,0,0,1
25,1,126110,10,0,1,0,0,0,40,1,0,0,0
26,0,102264,9,0,1,1,0,0,40,0,0,1,0
22,1,537222,13,0,1,1,0,0,25,1,0,0,0
42,1,113732,10,0,0,0,0,625,40,0,0,0,0
38,0,93225,13,0,1,1,0,0,40,0,1,0,0
55,1,43064,7,1,1,1,0,0,30,0,0,0,0
32,1,136921,9,1,1,1,0,0,40,1,0,0,0
22,1,388885,9,1,1,1,0,0,45,0,0,1,0
29,1,142249,13,0,1,1,0,0,40,1,0,0,0
46,0,56841,14,1,1,1,0,0,45,0,1,0,1
31,1,156493,10,1,1,1,0,0,40,0,1,0,1
58,0,159021,16,1,1,1,0,0,16,0,1,0,1
42,1,190910,9,1,1,1,0,0,45,0,0,1,0
18,1,41879,9,0,1,1,0,0,25,0,0,0,0
58,0,137249,9,0,1,1,0,0,33,0,1,0,0
54,1,236157,9,1,1,1,0,1887,40,0,1,0,1
34,1,189759,14,0,1,1,0,0,40,0,1,0,0
26,1,239877,13,0,1,0,0,0,40,1,0,0,0
61,1,21175,8,1,1,1,0,0,60,0,1,0,0
48,0,67229,14,0,0,0,0,0,40,1,0,0,0
36,1,236391,10,1,1,1,0,0,45,0,1,0,1
24,1,325596,11,1,1,1,0,0,45,0,0,1,0
40,1,83411,10,1,1,1,0,0,37,0,0,1,0
33,0,154227,9,1,1,1,0,0,50,1,0,0,1
37,1,248010,10,1,1,1,0,1887,40,0,0,1,1
34,1,198613,14,0,1,1,4650,0,40,0,1,0,0
56,0,321529,10,1,1,1,15024,0,40,0,1,0,1
37,1,203079,13,0,1,0,0,0,55,0,1,0,0
44,1,284652,9,0,0,0,0,0,40,1,0,0,0
54,1,59840,9,0,1,1,0,0,45,0,0,0,0
23,1,52753,9,0,1,1,0,0,50,0,0,1,0
22,1,199266,9,0,1,0,0,0,45,0,0,0,0
33,1,196385,13,1,1,1,0,1977,40,0,1,0,1
39,1,163205,13,0,1,1,0,0,50,0,1,0,1
47,1,411047,10,0,0,0,0,0,37,1,0,0,0
26,1,209440,9,0,0,0,0,0,55,0,1,0,0
31,1,56964,10,0,1,0,0,0,40,0,1,0,0
44,1,299197,10,0,1,1,0,0,45,0,0,1,0
42,0,240628,15,1,1,0,0,0,50,0,1,0,1
19,1,355313,9,0,1,0,0,0,40,0,0,1,0
27,1,132267,9,1,1,1,0,0,40,0,0,0,1
51,0,174861,10,1,1,1,0,0,40,1,0,0,1
28,0,142443,13,1,1,1,0,0,50,0,1,0,0
57,1,26716,13,0,1,1,0,0,45,0,0,1,0
45,0,185588,13,0,1,0,0,0,40,0,1,0,0
50,1,175029,11,1,1,1,0,0,40,0,1,0,1
34,0,34848,13,1,1,1,0,0,54,1,0,0,0
45,1,411273,4,1,0,1,0,0,40,0,0,1,0
73,0,143437,9,1,1,1,0,0,20,0,1,0,0
34,1,357145,13,1,1,0,0,0,50,0,1,0,1
31,1,236861,10,1,1,1,0,0,55,1,0,0,1
19,1,53355,7,0,1,1,0,0,12,1,0,0,0
25,1,29106,10,0,1,0,0,0,50,0,0,0,0
38,0,213274,11,0,1,0,6497,0,40,0,0,1,0
39,1,22463,13,1,1,1,0,0,40,0,0,1,0
23,1,180497,13,0,0,0,0,0,32,1,0,0,0
49,1,37306,9,1,1,1,0,0,40,0,0,1,0
33,0,137814,9,0,1,1,0,0,32,0,0,0,0
31,1,220915,11,0,1,1,0,0,40,0,0,1,0
23,1,42251,13,0,1,0,0,0,45,0,1,0,0
39,1,282951,9,0,1,1,0,0,40,0,0,1,0
52,0,311259,9,1,1,1,0,0,40,1,0,0,1
63,0,65479,5,1,1,1,7688,0,40,0,0,1,1
41,1,277256,10,1,1,1,0,0,40,0,0,1,0
46,1,312088,13,1,1,1,15024,0,38,0,1,0,1
53,0,169719,9,1,1,1,0,0,40,0,1,0,0
18,1,96869,8,0,1,1,0,0,40,0,0,0,0
38,1,237943,15,1,1,1,0,0,50,0,1,0,0
34,1,236861,9,1,1,1,0,0,40,1,0,0,1
80,0,201092,9,1,1,1,0,0,30,0,0,0,0
34,1,147215,11,0,1,0,0,0,60,1,0,0,0
52,1,152373,10,1,1,1,5013,0,40,1,0,0,0
26,1,362617,10,0,1,0,0,0,40,1,0,0,0
31,1,103435,9,1,1,1,0,0,40,0,0,1,0
25,0,281412,9,0,1,0,0,0,35,0,0,0,0
55,0,105239,9,1,1,1,0,2057,60,0,0,1,0
19,1,230165,10,0,1,0,0,0,12,0,0,0,0
62,0,177493,10,1,1,1,0,0,32,0,0,1,0
22,0,104443,10,0,1,0,0,0,20,1,0,0,0
35,1,143385,9,1,1,1,0,0,40,0,0,0,0
28,1,107189,9,1,1,0,0,0,40,1,0,0,0
47,1,212944,9,1,1,1,0,0,70,0,0,1,1
44,0,138634,9,1,1,1,0,0,40,0,0,1,0
21,1,99970,10,0,1,1,0,0,15,1,0,0,0
35,1,203717,11,0,1,1,0,0,50,0,0,1,0
24,1,313956,13,1,1,1,0,0,40,0,1,0,1
28,1,193868,13,0,1,1,0,0,50,1,0,0,0
21,1,250939,10,0,1,1,0,0,35,0,0,1,0
62,0,57629,10,0,0,1,4650,0,40,1,0,0,0
39,1,281768,9,0,0,0,0,0,40,0,0,0,0
30,0,260782,9,0,1,1,0,0,40,0,0,0,0
72,0,243769,15,0,1,1,0,1429,20,0,1,0,0
50,1,109937,10,1,1,0,0,0,50,0,1,0,0
28,0,134890,14,0,1,1,0,0,40,0,1,0,0
29,1,100293,10,0,1,0,0,0,40,0,1,0,0
26,1,132179,13,0,1,0,0,0,40,1,0,0,0
27,1,116372,14,0,1,0,0,0,40,0,1,0,0
29,1,255412,10,1,1,1,3103,0,40,0,0,0,1
29,1,342400,6,1,1,1,0,0,25,0,0,1,0
31,1,169085,7,1,1,0,0,0,20,1,0,0,0
25,1,177221,9,1,1,1,0,0,75,0,1,0,0
58,1,65325,6,1,1,1,0,0,40,0,0,1,1
64,1,118944,10,1,1,0,0,0,40,0,1,0,1
46,0,149337,14,0,1,1,0,0,38,0,1,0,0
19,1,106183,9,0,0,0,0,0,35,0,0,0,0
42,1,226388,9,0,0,1,0,0,52,0,0,0,0
18,1,220754,7,0,1,1,0,0,24,0,0,0,0
58,0,204021,13,1,1,1,15024,0,50,0,0,1,1
20,1,347391,10,0,0,1,0,0,60,1,0,0,0
35,0,413930,9,1,1,1,0,0,40,0,0,1,1
32,1,174201,9,1,1,1,0,0,38,0,0,0,1
23,1,145917,9,0,1,0,0,0,25,0,0,0,0
31,1,241797,10,0,1,0,0,0,40,1,0,0,0
33,1,265168,13,1,0,1,0,0,55,1,0,0,0
41,1,171234,10,0,1,0,0,0,48,0,0,1,0
22,1,178452,9,0,0,1,0,0,40,0,0,1,0
46,1,157857,10,1,1,1,0,0,40,1,0,0,1
61,0,512864,10,1,0,1,0,0,40,0,0,1,0
30,1,296462,9,0,0,1,0,0,40,0,1,0,0
42,1,171615,9,1,1,1,0,0,55,0,1,0,1
63,1,214071,6,1,1,1,0,0,40,0,0,0,0
26,1,172421,10,1,1,1,0,0,40,1,0,0,0
42,1,195488,6,0,1,0,0,0,40,1,0,0,0
23,1,316841,10,1,1,1,0,0,40,0,0,0,0
25,1,236267,9,0,1,1,0,1590,40,0,0,1,0
23,1,318483,9,0,1,1,0,0,40,1,0,0,0
34,0,163756,11,0,1,1,27828,0,60,0,0,1,1
30,1,238186,9,1,1,1,0,2057,48,0,0,1,0
39,1,329980,10,1,1,1,0,0,40,0,0,1,1
38,0,34744,10,0,1,0,0,0,38,1,0,0,0
26,1,98114,9,0,1,0,0,0,40,0,1,0,0
20,1,109667,10,0,1,1,0,0,16,0,0,0,0
33,1,147430,9,1,1,0,0,0,40,1,0,0,0
24,1,224238,13,0,1,1,0,0,40,1,0,0,0
42,0,212894,13,1,1,1,0,0,60,0,1,0,1
56,0,38573,12,1,1,1,0,0,45,1,0,0,1
22,1,197200,10,0,1,1,0,0,40,0,0,0,0
52,0,182796,10,1,1,1,0,0,60,0,0,1,0
44,1,184527,13,0,1,0,4934,0,45,0,1,0,1
34,1,145231,9,1,1,0,4064,0,35,1,0,0,0
51,1,43354,10,0,1,1,0,0,42,0,0,1,1
19,1,355712,10,0,1,0,0,0,25,1,0,0,0
37,1,98776,13,1,1,1,0,0,40,0,1,0,1
68,1,257557,9,1,0,1,0,0,40,0,0,1,1
22,1,102258,10,0,1,1,0,0,40,1,0,0,0
56,0,170287,13,1,1,1,0,0,40,0,1,0,0
37,1,243409,9,1,1,1,0,0,40,0,0,1,0
33,1,95530,14,1,1,1,0,0,50,0,1,0,0
45,0,54038,14,0,1,0,0,0,42,0,1,0,0
18,1,161245,7,0,1,1,0,0,15,0,0,0,0
43,0,388725,10,1,1,1,0,0,60,0,0,1,1
18,1,228216,9,0,1,1,0,0,20,0,0,0,0
57,1,78020,9,1,1,1,0,0,40,0,0,1,1
41,1,249254,9,0,1,0,3674,0,42,1,0,0,0
34,1,87218,14,1,1,1,0,1887,50,0,1,0,1
19,1,304299,9,0,1,0,0,0,40,1,0,0,0
56,1,197875,6,0,1,0,0,0,40,0,0,0,0
36,0,48063,9,1,1,1,0,0,80,0,0,1,0
48,1,253596,13,0,1,0,0,0,48,0,1,0,0
29,1,39257,9,1,1,1,0,0,40,0,0,1,1
33,1,56150,13,0,1,1,2174,0,40,0,0,1,0
39,1,252445,14,1,1,1,0,0,45,0,1,0,1
66,1,275918,9,1,1,1,10605,0,40,0,1,0,1
27,1,106562,13,0,1,0,0,0,50,0,1,0,1
39,1,198654,9,0,0,0,99999,0,40,0,1,0,1
59,1,107318,4,1,1,1,5178,0,50,0,0,1,1
26,1,181896,9,0,1,0,0,0,40,0,0,0,0
31,1,106014,11,0,1,1,0,0,40,0,0,1,0
23,1,197997,9,0,1,1,0,0,30,0,0,0,0
36,0,173542,9,0,1,0,0,0,40,1,0,0,0
34,1,207564,10,1,1,0,0,0,12,0,0,0,1
32,1,224462,9,1,1,1,0,0,84,0,0,1,1
37,1,123361,13,1,0,1,0,0,50,0,1,0,1
33,1,90409,13,0,1,1,0,0,45,1,0,0,0
50,0,165001,15,1,1,1,99999,0,80,0,1,0,1
32,0,149573,12,0,0,1,0,0,40,1,0,0,0
35,1,249456,13,0,0,0,0,0,40,1,0,0,0
37,1,149898,7,1,1,1,0,0,40,0,0,1,0
44,1,292985,10,0,1,1,0,0,60,0,0,1,0
57,1,50223,10,0,1,1,0,0,25,0,0,0,0
29,0,400074,10,1,1,0,0,0,40,0,1,0,0
55,1,197399,9,1,1,1,0,0,50,0,0,1,1
43,0,209547,15,1,1,1,0,0,25,0,1,0,1
43,1,52433,10,1,1,1,0,0,70,1,0,0,0
45,0,355978,10,1,1,1,0,0,60,1,0,0,1
33,0,48214,14,1,1,0,0,0,8,0,1,0,0
23,1,278390,10,1,1,1,0,0,68,1,0,0,0
24,1,279175,9,1,1,1,0,0,40,0,0,1,0
47,0,194590,13,1,1,1,0,0,44,1,0,0,0
34,0,198813,9,0,1,1,0,0,45,0,0,1,0
40,1,187294,9,1,1,1,0,0,40,0,1,0,1
28,1,302903,13,1,0,0,0,1485,40,0,1,0,0
23,1,100345,9,0,1,1,0,0,15,0,0,1,0
43,0,126320,9,1,0,1,0,0,40,0,1,0,1
26,1,142226,13,0,1,0,0,0,40,1,0,0,0
58,0,112076,16,1,1,0,0,1485,35,0,1,0,1
52,1,225339,9,0,0,0,0,0,35,1,0,0,0
29,1,211208,7,1,1,1,0,0,99,0,0,1,1
49,1,220618,9,0,0,0,0,0,37,1,0,0,0
40,1,210493,7,0,1,0,0,0,40,1,0,0,0
62,0,369734,9,1,1,0,0,0,40,1,0,0,0
49,1,27898,9,1,1,1,0,1977,55,0,1,0,1
50,1,138193,13,0,1,0,0,0,50,0,1,0,1
31,1,224234,9,0,0,1,0,0,40,0,0,1,0
48,0,188741,14,0,1,0,0,0,50,0,1,0,0
24,1,183772,9,0,1,0,0,0,40,0,0,1,0
37,1,79586,9,0,0,1,0,0,60,0,0,1,0
45,1,59287,13,1,1,1,0,0,40,0,1,0,0
41,1,138868,13,0,1,0,0,0,40,1,0,0,0
26,1,185885,12,0,1,0,0,0,20,1,0,0,0
17,1,40299,7,0,1,0,0,0,25,1,0,0,0
43,1,51494,9,1,1,1,0,0,65,0,0,1,0
35,1,179481,9,0,1,1,0,0,55,0,0,1,0
38,1,365907,13,0,1,0,0,0,40,1,0,0,0
26,1,284343,9,0,1,1,0,0,40,0,0,1,0
28,1,204862,10,0,1,0,0,0,40,0,1,0,0
38,1,272476,13,1,1,0,0,0,24,0,1,0,1
36,1,175130,7,0,1,0,0,0,40,0,0,1,0
33,1,118941,9,1,1,0,0,0,40,1,0,0,1
19,1,164339,9,0,1,1,1055,0,70,0,0,0,0
50,1,280292,6,1,1,1,0,0,40,0,0,1,1
30,1,446894,9,1,1,1,0,0,30,0,0,0,0
54,0,159219,15,1,1,1,99999,0,40,0,1,0,1
52,0,168539,13,0,1,1,0,0,40,0,1,0,0
33,1,150309,9,0,1,0,0,0,40,0,0,1,0
25,1,122999,10,0,1,1,0,0,40,1,0,0,0
24,1,302195,13,0,1,1,0,0,45,1,0,0,0
26,1,210982,11,0,0,0,114,0,40,1,0,0,0
39,1,177140,9,0,1,1,0,0,40,1,0,0,1
59,1,113838,9,0,1,0,0,0,40,0,0,0,0
